"Vorticity: Magnitude (/s)","Vorticity[i] (/s)","Vorticity[j] (/s)","Vorticity[k] (/s)","Velocity: Magnitude (m/s)","Velocity[i] (m/s)","Velocity[j] (m/s)","Velocity[k] (m/s)","Turbulent Viscosity Ratio","Turbulent Viscosity (Pa-s)","Turbulent Kinetic Energy (J/kg)","Turbulent Dissipation Rate (m^2/s^3)","Turbulent Charge (/s^2)","X (m)","Y (m)","Z (m)"
0.327135822890387,-0.0241805166006088,0.0338165611028671,-0.324483573436737,0.373106030875072,0.373105436563492,0.000467651436338201,-0.000474114174721763,36.219181060791,0.000671894755214453,0.000838314474094659,8.6581836512778e-05,0.862106442451477,0.05,0.172457539268062,0.358913154360911
0.353245110776476,-0.0231515616178513,0.0247752778232098,-0.351613849401474,0.370095936787481,0.370095193386078,0.000691321562044322,-0.000268949108431116,35.3931121826172,0.000656570540741086,0.000873599201440811,9.61791884037666e-05,0.873890817165375,0.05,0.162312466027142,0.37325671637983
0.380332720343799,-0.0214319117367268,0.0173354782164097,-0.379332482814789,0.366804885939479,0.366803824901581,0.00087780860485509,-8.85364206624217e-05,34.5751686096191,0.000641397025901824,0.000909926136955619,0.000106755142041948,0.891967177391052,0.05,0.152472974334332,0.38776584971673
0.40837983525521,-0.0190874058753252,0.0114868395030499,-0.407771766185761,0.363263863011855,0.363262414932251,0.00102409475948662,5.74265468458179e-05,33.7541198730469,0.000626165943685919,0.000946772808674723,0.000118302123155445,0.921770930290222,0.05,0.142938363791514,0.40242319432331
0.437618393106436,-0.016299108043313,0.00713702524080873,-0.437256515026093,0.359502366414535,0.359500557184219,0.00112896726932377,0.000162095006089658,32.9189682006836,0.000610673159826547,0.000983814592473209,0.000130854794406332,0.970518827438354,0.05,0.133707166023541,0.417210623463767
0.468527429646516,-0.0132919205352664,0.00411311164498329,-0.468320786952972,0.355545120764922,0.355543047189713,0.00119360641110688,0.000223155846470036,32.0606460571289,0.000594750628806651,0.0010209190659225,0.00014449714217335,1.04453635215759,0.05,0.124777198451827,0.432109327681596
0.306147031510839,-0.0233420357108116,0.0373346693813801,-0.302964150905609,0.376381774755316,0.376381099224091,0.000398323085391894,-0.00059148418949917,36.9731140136719,0.00068588083377108,0.000808518496342003,7.89189507486299e-05,0.828999280929565,0.05,0.182908074107615,0.358913154360911
0.330970656176033,-0.0225052032619715,0.0277850981801748,-0.329033553600311,0.373545379149137,0.373544633388519,0.000637692224700004,-0.00038794192369096,36.1660346984863,0.0006709088338539,0.000842788605950773,8.76377380336635e-05,0.835437953472137,0.05,0.172457539268062,0.37325671637983
0.356763612209785,-0.0210440531373024,0.0198080334812403,-0.355591148138046,0.370416938532593,0.370415925979614,0.000841850414872169,-0.000203520030481741,35.3704376220703,0.000656149873975664,0.000878361868672073,9.72936759353615e-05,0.845337569713593,0.05,0.162312466027142,0.38776584971673
0.383372447726731,-0.0189323090016842,0.0134369060397148,-0.382668852806091,0.367028011095692,0.367026627063751,0.00100680068135262,-4.80359594803303e-05,34.5756034851074,0.000641405116766691,0.000914608943276107,0.000107855878013652,0.862976372241974,0.05,0.152472974334332,0.40242319432331
0.410871144088324,-0.016256982460618,0.00862429477274418,-0.41045880317688,0.36341021033533,0.363408446311951,0.00113014073576778,7.00501259416342e-05,33.769718170166,0.00062645529396832,0.000951091467868537,0.000119328986329492,0.894403994083405,0.05,0.142938363791514,0.417210623463767
0.439598241656438,-0.0132633745670319,0.00522120390087366,-0.439367085695267,0.359592212882151,0.359590142965317,0.00121130410116166,0.000146253340062685,32.9424629211426,0.000611109018791467,0.000987568055279553,0.000131761204102077,0.946763873100281,0.05,0.133707166023541,0.432109327681596
