"Vorticity: Magnitude (/s)","Vorticity[i] (/s)","Vorticity[j] (/s)","Vorticity[k] (/s)","Velocity: Magnitude (m/s)","Velocity[i] (m/s)","Velocity[j] (m/s)","Velocity[k] (m/s)","Turbulent Viscosity Ratio","Turbulent Viscosity (Pa-s)","Turbulent Kinetic Energy (J/kg)","Turbulent Dissipation Rate (m^2/s^3)","Turbulent Charge (/s^2)","X (m)","Y (m)","Z (m)"
0.113310976566363,-0.006729771848768,-0.00123507855460048,-0.113104209303856,0.0756416092742869,0.0756408721208572,0.000333736650645733,-1.17578920253436e-05,12.0311079025269,0.000223186681978405,8.10736237326637e-05,1.91100457413995e-06,0.0724059119820595,0.05,0.152472974334332,0.38776584971673
0.126043183364451,-0.0057905800640583,-0.00238086679019034,-0.125887587666512,0.0744774714225026,0.074476532638073,0.000372275244444609,3.53106515831314e-05,11.6842250823975,0.000216751723201014,8.53309029480442e-05,2.10603457162506e-06,0.0781605094671249,0.05,0.142938363791514,0.40242319432331
0.139798419045024,-0.00481698289513588,-0.00303068920038641,-0.139682531356812,0.0732137205630993,0.0732126161456108,0.000396528135752305,6.69420987833291e-05,11.2770318984985,0.000209197954973206,8.95476405275986e-05,2.30868295147957e-06,0.0850543826818466,0.05,0.133707166023541,0.417210623463767
0.154739944912505,-0.00385344121605158,-0.00321730319410563,-0.154658496379852,0.0718554051519575,0.0718541964888573,0.000408342486480251,8.33840895211324e-05,10.8007030487061,0.000200361682800576,9.36549331527203e-05,2.51710594056931e-06,0.0934440419077873,0.05,0.124777198451827,0.432109327681596
0.0823859751758584,-0.00810591876506805,0.00390568794682622,-0.081893153488636,0.0785463529143279,0.078545905649662,0.000183537005796097,-0.00019124848768115,12.8963661193848,0.00023923791013658,6.97563955327496e-05,1.42732574204274e-06,0.0583109222352505,0.05,0.182908074107615,0.358913154360911
0.0923379817677081,-0.00746947852894664,0.00165467511396855,-0.0920204967260361,0.0776785954093849,0.0776780694723129,0.000261135341133922,-0.000116259034257382,12.6671628952026,0.000234986000577919,7.36716683604755e-05,1.5868128002694e-06,0.0621377974748611,0.05,0.172457539268062,0.37325671637983
0.103143441280172,-0.00668688910081983,-0.000140365984407254,-0.102926358580589,0.0767019644413277,0.0767012685537338,0.000322603445965797,-5.17534863320179e-05,12.4103956222534,0.000230222765821964,7.77700552134775e-05,1.75982927430596e-06,0.0663648471236229,0.05,0.162312466027142,0.38776584971673
0.114791913758347,-0.00579343922436237,-0.00145038857590407,-0.114636451005936,0.0756213911278387,0.0756204947829247,0.000368191278539598,-2.78639134876357e-07,12.1127309799194,0.000224700837861747,8.19551496533677e-05,1.94370068129501e-06,0.0711889490485191,0.05,0.152472974334332,0.40242319432331
0.127329246519586,-0.00483386870473623,-0.00227021961472929,-0.127217203378677,0.0744425775112341,0.0744415000081062,0.000398854666855186,3.65788728231564e-05,11.7612771987915,0.000218181099626236,8.61406297190115e-05,2.13599264498043e-06,0.0768998041749001,0.05,0.142938363791514,0.417210623463767
0.140868412563544,-0.00386847206391394,-0.00262159644626081,-0.14079087972641,0.0731711603888715,0.0731699541211128,0.000416052498621866,5.85396155656781e-05,11.345235824585,0.000210463200346567,9.02531246538274e-05,2.33468790611369e-06,0.0838451460003853,0.05,0.133707166023541,0.432109327681596
