"Velocity[i] (m/s)","X (m)","Y (m)","Z (m)"
0.000103681915788911,0.05,0.4375,0.0325
8.82508611539379e-05,0.05,0.4325,0.0275
7.26258513168432e-05,0.05,0.4275,0.0225
5.68112918699626e-05,0.05,0.4225,0.0175
4.08115847676527e-05,0.05,0.4175,0.0125
2.46311537921429e-05,0.05,0.4125,0.00749999999999997
8.27442454465199e-06,0.05,0.4075,0.00249999999999998
0.000284680689219385,0.05,0.4975,0.0975
0.000272121338639408,0.05,0.4925,0.0925
0.000259317428572103,0.05,0.4875,0.0875
0.000246272888034582,0.05,0.4825,0.0825
0.000232991820666939,0.05,0.4775,0.0775
0.000219478257349692,0.05,0.4725,0.0725
0.000205736359930597,0.05,0.4675,0.0675
0.000191770290257409,0.05,0.4625,0.0625
0.000177584253833629,0.05,0.4575,0.0575
0.000163182499818504,0.05,0.4525,0.0525
0.000148569291923195,0.05,0.4475,0.0474999999999999
0.000133748952066526,0.05,0.4425,0.0424999999999999
0.000118725794891361,0.05,0.4375,0.0375
0.000103504200524185,0.05,0.4325,0.0325
8.80885490914807e-05,0.05,0.4275,0.0275
7.24832425476052e-05,0.05,0.4225,0.0225
5.66927119507454e-05,0.05,0.4175,0.0175
4.07213883590885e-05,0.05,0.4125,0.0125
2.45737228397047e-05,0.05,0.4075,0.00749999999999997
8.25417100713821e-06,0.05,0.4025,0.00249999999999998
0.000296991434879601,0.05,0.4975,0.1025
0.000284640787867829,0.05,0.4925,0.0975
0.000272045552264899,0.05,0.4875,0.0924999999999999
0.000259209627984092,0.05,0.4825,0.0875
0.000246137060457841,0.05,0.4775,0.0825
0.000232831967878155,0.05,0.4725,0.0775
0.00021929839567747,0.05,0.4675,0.0725
0.000205540549359284,0.05,0.4625,0.0675
0.00019156260532327,0.05,0.4575,0.0625
0.000177368798176758,0.05,0.4525,0.0575
0.00016296339163091,0.05,0.4475,0.0524999999999999
0.000148350722156465,0.05,0.4425,0.0474999999999999
0.00013353509712033,0.05,0.4375,0.0424999999999999
0.000118520903924946,0.05,0.4325,0.0375
0.000103312515420839,0.05,0.4275,0.0325
8.79143553902395e-05,0.05,0.4225,0.0275
7.23308621672913e-05,0.05,0.4175,0.0225
5.6566481362097e-05,0.05,0.4125,0.0175
4.06256913265679e-05,0.05,0.4075,0.0125
2.45129685936263e-05,0.05,0.4025,0.00749999999999997
8.23280242912006e-06,0.05,0.3975,0.00249999999999998
0.000309093506075442,0.05,0.4975,0.1075
0.000296949612675235,0.05,0.4925,0.1025
0.000284561043372378,0.05,0.4875,0.0974999999999999
0.000271931814495474,0.05,0.4825,0.0924999999999999
0.000259065855061635,0.05,0.4775,0.0875
0.000245967210503295,0.05,0.4725,0.0825
0.000232640028116293,0.05,0.4675,0.0775
0.000219088411540724,0.05,0.4625,0.0725
0.000205316566280089,0.05,0.4575,0.0675
0.00019132872694172,0.05,0.4525,0.0625
0.000177129128132947,0.05,0.4475,0.0575
0.000162722106324509,0.05,0.4425,0.0524999999999999
0.000148111968883313,0.05,0.4375,0.0474999999999999
0.000133303110487759,0.05,0.4325,0.0425
0.00011829991126433,0.05,0.4275,0.0375
0.000103106794995256,0.05,0.4225,0.0325
8.77282145665959e-05,0.05,0.4175,0.0275
7.21686374163255e-05,0.05,0.4125,0.0225
5.64325528102927e-05,0.05,0.4075,0.0175
4.0524457290303e-05,0.05,0.4025,0.0125
2.44488710450241e-05,0.05,0.3975,0.00749999999999997
8.21031153463991e-06,0.05,0.3925,0.00249999999999998
0.000320988823659718,0.05,0.4975,0.1125
0.000309049733914435,0.05,0.4925,0.1075
0.000296865968266502,0.05,0.4875,0.1025
0.000284441426629201,0.05,0.4825,0.0974999999999999
0.000271780125331134,0.05,0.4775,0.0924999999999999
0.000258886022493243,0.05,0.4725,0.0875
0.000245763250859454,0.05,0.4675,0.0825
0.000232415943173692,0.05,0.4625,0.0775
0.00021884823217988,0.05,0.4575,0.0725
0.000205064352485351,0.05,0.4525,0.0675
0.000191068582353182,0.05,0.4475,0.0625
0.00017686520004645,0.05,0.4425,0.0575
0.000162458527483977,0.05,0.4375,0.0524999999999999
0.000147852959344164,0.05,0.4325,0.0475
0.000133052890305407,0.05,0.4275,0.0425
0.000118062736873981,0.05,0.4225,0.0375
0.000102886966487858,0.05,0.4175,0.0325
8.75300611369312e-05,0.05,0.4125,0.0275
7.19965319149196e-05,0.05,0.4075,0.0225
5.62908790016081e-05,0.05,0.4025,0.0175
4.04176535084844e-05,0.05,0.3975,0.0125
2.4381406547036e-05,0.05,0.3925,0.00749999999999997
8.18669104774017e-06,0.05,0.3875,0.00249999999999998
0.00033267933758907,0.05,0.4975,0.1175
0.000320943130645901,0.05,0.4925,0.1125
0.000308962218696252,0.05,0.4875,0.1075
0.000296740472549573,0.05,0.4825,0.1025
0.000284281879430637,0.05,0.4775,0.0974999999999999
0.000271590426564217,0.05,0.4725,0.0924999999999999
0.000258670130278915,0.05,0.4675,0.0875
0.000245525152422488,0.05,0.4625,0.0825
0.000232159640290774,0.05,0.4575,0.0775
0.000218577770283446,0.05,0.4525,0.0725
0.000204783820663579,0.05,0.4475,0.0675
0.000190782084246166,0.05,0.4425,0.0625
0.00017657688295003,0.05,0.4375,0.0575
0.00016217258234974,0.05,0.4325,0.0525
0.000147573591675609,0.05,0.4275,0.0475
0.000132784349261783,0.05,0.4225,0.0424999999999999
0.000117809300718363,0.05,0.4175,0.0375
0.000102652949863113,0.05,0.4125,0.0325
8.7319829617627e-05,0.05,0.4075,0.0275
7.18144656275399e-05,0.05,0.4025,0.0225
5.61414053663611e-05,0.05,0.3975,0.0175
4.03052399633452e-05,0.05,0.3925,0.0125
2.43105514527997e-05,0.05,0.3875,0.00749999999999997
8.1619291449897e-06,0.05,0.3825,0.00249999999999998
0.000344166939612478,0.05,0.4975,0.1225
0.000332631723722443,0.05,0.4925,0.1175
